model,auroc_mean,auroc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
imaging-only,0.5571369806663924,0.049197886758129875,0.5295900178253119,0.3494240845236985,0.5384615384615384,0.3206410000102513
ehr-only,0.6735294117647058,0.06493625776167404,0.6310160427807486,0.052818297290656166,0.6076923076923076,0.07882269819968922
joint-fusion,0.6206430824077882,0.07823781591762562,0.6848484848484848,0.07892256255092377,0.49230769230769234,0.19498141316363962
late-fusion,0.6203139997257645,0.05204852965351432,0.5894830659536543,0.34915072398029,0.6153846153846154,0.28910185343024825
